COA2011,AvPTAI2015,PTAL,PTAIHigh,PTAILow
E00018468,4.62888,1b,10.1826,2.09245
E00018469,2.58202,1b,2.58441,2.57963
E00018470,10.0301,3,12.7615,3.32918
E00018471,4.11146,1b,4.53967,3.24738
E00018472,4.02607,1b,4.90018,2.82858
E00018473,13.1438,3,14.6345,11.8605
E00018474,12.7353,3,14.4756,11.0135
E00018475,15.6369,4,16.3733,14.3928
E00018476,16.7072,4,19.1342,13.7961
E00018477,4.68754,1b,6.35,3.75559
E00018478,3.00564,1b,3.39884,2.8151
E00018480,1.82603,1a,1.90292,1.74914
E00018481,13.5463,3,14.5983,12.9364
E00018482,12.3355,3,13.3414,10.9984
E00018483,6.35581,2,8.69321,5.06334
E00018484,10.6103,3,14.3634,3.82417
E00018485,0.497298,1a,1.98919,0
E00018486,4.76194,1b,5.74579,4.14935
E00018488,3.24753,1b,5.36861,2.08761
E00018489,3.36258,1b,4.25827,1.92031
E00018490,4.02244,1b,4.71211,3.06846
E00018491,5.06454,2,13.7112,0
E00018492,13.1391,3,16.6396,6.44057
E00018494,1.27359,1a,2.61633,0
E00018495,13.4402,3,14.7558,11.1752
E00018496,16.0085,4,17.468,14.8282
E00018497,15.3708,4,16.692,14.3188
E00018498,12.4032,3,14.8002,10.7417
E00018499,8.30267,2,11.4265,2.56198
E00018500,5.42799,2,6.08731,5.04677
E00018501,5.35249,2,6.17308,4.93666
E00018502,7.92562,2,10.2586,3.9395
E00018503,9.63639,2,10.1865,9.17892
E00018504,5.31511,2,6.1505,4.55085
E00018505,4.638,1b,5.67872,3.60046
E00018506,2.56825,1b,3.75722,1.96306
E00018507,3.97473,1b,4.64213,3.07566
E00018508,3.40373,1b,4.09423,2.73351
E00018509,4.35944,1b,5.43549,3.32768
E00018510,10.7635,3,10.8757,10.5982
E00018511,10.459,3,11.4796,9.29666
E00018512,4.78921,1b,5.70827,2.95443
E00018513,2.47964,1a,2.89464,2.2285
E00018514,2.91904,1b,3.73939,2.27879
E00018515,3.98102,1b,7.10224,0
E00018516,3.09122,1b,3.56238,2.28204
E00018517,2.85511,1b,4.84197,2.06895
E00018518,5.22036,2,5.61163,4.82162
E00018519,2.8646,1b,4.1971,2.06521
E00018520,1.39622,1a,3.33262,0
E00018521,3.84398,1b,5.36671,3.17743
E00018522,2.27399,1a,2.94567,1.80122
E00018523,2.61857,1b,3.40912,2.14565
E00018524,2.42179,1a,2.71868,2.19507
E00018525,4.81501,1b,6.26641,0
E00018526,4.36341,1b,6.59084,1.9987
E00018527,4.57869,1b,10.6836,2.22692
E00018528,2.08161,1a,4.21014,0
E00018529,3.39408,1b,8.01801,0
E00018530,4.50129,1b,7.66185,2.87884
E00018531,2.18486,1a,4.76524,0
E00018532,4.61444,1b,6.04185,0
E00018533,2.2979,1a,3.1261,0
E00018534,6.6635,2,10.7076,2.44151
E00018535,4.9133,1b,6.10036,2.78479
E00018536,7.78066,2,7.95374,7.63932
E00018537,11.8247,3,12.6797,10.9297
E00018538,9.15478,2,10.4401,7.71054
E00018539,10.4516,3,12.8875,8.21055
E00018540,12.9069,3,15.9367,11.2911
E00018541,7.7343,2,9.21201,6.25659
E00018542,10.6507,3,11.3516,9.80549
E00018543,10.1666,3,13.8693,5.97461
E00018544,33.0208,6b,42.5221,4.41327
E00018545,10.3208,3,13.3834,8.69688
E00018546,9.95301,2,10.7536,9.53443
E00018548,17.1563,4,27.0887,6.51391
E00018549,17.4998,4,39.2097,6.26567
E00018550,7.43275,2,8.19829,6.91043
E00018551,8.04649,2,8.83376,7.24931
E00018552,4.74563,1b,6.62456,2.26187
E00018553,8.30371,2,8.79254,7.92813
E00018554,21.1434,5,26.1153,16.1715
E00018555,4.90093,1b,7.15574,2.74565
